[Header]
Data File Name	C:\GCMSsolution\Data\KOM\Huile essentielle\Essential oill.qgm1.QGD
Output Date	01/07/2008
Output Time	03:14:09

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	300
# of Points	9167
Start Time(min)	3.000
End Time(min)	48.830
Ret.Time	Absolute Intensity	Relative Intensity
3.000	72646	2.28
3.005	68800	2.16
3.010	71289	2.24
3.015	71608	2.25
3.020	67674	2.13
3.025	68532	2.15
3.030	69146	2.17
3.035	65772	2.07
3.040	68695	2.16
3.045	66640	2.09
3.050	69710	2.19
3.055	69368	2.18
3.060	66181	2.08
3.065	67066	2.11
3.070	66869	2.10
3.075	69123	2.17
3.080	69336	2.18
3.085	68077	2.14
3.090	70678	2.22
3.095	66605	2.09
3.100	66997	2.11
3.105	67404	2.12
3.110	67757	2.13
3.115	69065	2.17
3.120	69015	2.17
3.125	66847	2.10
3.130	69358	2.18
3.135	69368	2.18
3.140	70202	2.21
3.145	69869	2.20
3.150	68164	2.14
3.155	73063	2.30
3.160	65955	2.07
3.165	67930	2.13
3.170	70702	2.22
3.175	64755	2.03
3.180	66482	2.09
3.185	69178	2.17
3.190	68631	2.16
3.195	68101	2.14
3.200	67999	2.14
3.205	67711	2.13
3.210	69291	2.18
3.215	64905	2.04
3.220	68467	2.15
3.225	64699	2.03
3.230	67220	2.11
3.235	67154	2.11
3.240	66970	2.10
3.245	71053	2.23
3.250	66913	2.10
3.255	67433	2.12
3.260	66786	2.10
3.265	69289	2.18
3.270	67447	2.12
3.275	67232	2.11
3.280	65123	2.05
3.285	68966	2.17
3.290	69157	2.17
3.295	68049	2.14
3.300	70774	2.22
3.305	65677	2.06
3.310	69226	2.18
3.315	68271	2.15
3.320	69399	2.18
3.325	68157	2.14
3.330	68398	2.15
3.335	71100	2.23
3.340	66178	2.08
3.345	67819	2.13
3.350	65586	2.06
3.355	66004	2.07
3.360	71317	2.24
3.365	66568	2.09
3.370	68159	2.14
3.375	68921	2.17
3.380	67006	2.11
3.385	69182	2.17
3.390	68820	2.16
3.395	69264	2.18
3.400	69399	2.18
3.405	67474	2.12
3.410	69057	2.17
3.415	70573	2.22
3.420	66965	2.10
3.425	67532	2.12
3.430	66681	2.10
3.435	69984	2.20
3.440	69707	2.19
3.445	66748	2.10
3.450	68356	2.15
3.455	66023	2.07
3.460	67280	2.11
3.465	66442	2.09
3.470	68907	2.17
3.475	68005	2.14
3.480	69359	2.18
3.485	65606	2.06
3.490	68054	2.14
3.495	68084	2.14
3.500	66961	2.10
3.505	70788	2.22
3.510	67974	2.14
3.515	68482	2.15
3.520	69581	2.19
3.525	67029	2.11
3.530	66749	2.10
3.535	66302	2.08
3.540	67535	2.12
3.545	69430	2.18
3.550	69639	2.19
3.555	69598	2.19
